Nome_do_Arquivo,Tempo_Médio,Melhor_Custo,Pior_custo,Diferença
./samplestext/1.txt,181.212,0,1350,1350
./samplestext/1.txt,219.207,30,1350,1320
./samplestext/1.txt,223.247,30,1350,1320
./samplestext/1.txt,222.702,30,1350,1320
./samplestext/1.txt,176.83,0,1350,1350
./samplestext/1.txt,228.802,30,1350,1320
./samplestext/1.txt,226.899,30,1350,1320
./samplestext/1.txt,229.283,30,1350,1320
./samplestext/1.txt,217.274,30,1350,1320
./samplestext/1.txt,226.996,30,1350,1320
./samplestext/10.txt,158971,12300,65940,53640
./samplestext/10.txt,159140,12120,65940,53820
./samplestext/10.txt,159461,12120,65940,53820
./samplestext/10.txt,160642,11955,65940,53985
./samplestext/10.txt,144461,12570,65940,53370
./samplestext/10.txt,149428,12420,65940,53520
./samplestext/10.txt,155029,12240,65940,53700
./samplestext/10.txt,154964,12540,65940,53400
./samplestext/10.txt,155563,12525,65940,53415
./samplestext/10.txt,153173,13350,65940,52590
./samplestext/11.txt,333619,37755,113940,76185
./samplestext/11.txt,339157,37845,113940,76095
./samplestext/11.txt,323207,36930,113940,77010
./samplestext/11.txt,330531,38835,113940,75105
./samplestext/11.txt,322815,37365,113940,76575
./samplestext/11.txt,331050,37635,113940,76305
./samplestext/11.txt,332081,37815,113940,76125
./samplestext/11.txt,336754,37965,113940,75975
./samplestext/12.txt,154830,22395,69615,47220
./samplestext/12.txt,147165,23865,69615,45750
./samplestext/11.txt,318784,36495,113940,77445
./samplestext/11.txt,321897,38145,113940,75795
./samplestext/12.txt,148698,23145,69615,46470
./samplestext/12.txt,150039,22545,69615,47070
./samplestext/12.txt,149109,22125,69615,47490
./samplestext/12.txt,144727,22395,69615,47220
./samplestext/12.txt,150938,23220,69615,46395
./samplestext/12.txt,151624,23100,69615,46515
./samplestext/12.txt,145959,22260,69615,47355
./samplestext/12.txt,152869,21435,69615,48180
./samplestext/13.txt,307892,34275,110730,76455
./samplestext/13.txt,304981,32745,110730,77985
./samplestext/13.txt,308137,33075,110730,77655
./samplestext/13.txt,320286,33045,110730,77685
./samplestext/13.txt,304633,33855,110730,76875
./samplestext/13.txt,308870,32640,110730,78090
./samplestext/13.txt,298171,33390,110730,77340
./samplestext/13.txt,312760,32910,110730,77820
./samplestext/14.txt,8508.51,660,13410,12750
./samplestext/14.txt,7101.39,780,13410,12630
./samplestext/14.txt,7321.82,765,13410,12645
./samplestext/14.txt,7699.05,495,13410,12915
./samplestext/14.txt,7362.54,945,13410,12465
./samplestext/14.txt,7176.46,720,13410,12690
./samplestext/14.txt,7395.55,690,13410,12720
./samplestext/14.txt,6972.64,555,13410,12855
./samplestext/14.txt,7048.08,780,13410,12630
./samplestext/14.txt,7075.59,780,13410,12630
./samplestext/15.txt,230521,32685,61515,28830
./samplestext/15.txt,232708,34785,61515,26730
./samplestext/13.txt,309562,31440,110730,79290
./samplestext/13.txt,309828,32370,110730,78360
./samplestext/15.txt,231723,34875,61515,26640
./samplestext/15.txt,233386,34980,61515,26535
./samplestext/15.txt,228034,36285,61515,25230
./samplestext/15.txt,233948,34800,61515,26715
./samplestext/15.txt,223476,35130,61515,26385
./samplestext/15.txt,231594,36255,61515,25260
./samplestext/15.txt,234935,34530,61515,26985
./samplestext/15.txt,232175,36705,61515,24810
./samplestext/16.txt,147816,21285,73545,52260
./samplestext/16.txt,142112,21390,73545,52155
./samplestext/16.txt,140607,19050,73545,54495
./samplestext/16.txt,137727,19545,73545,54000
./samplestext/16.txt,138272,21060,73545,52485
./samplestext/16.txt,141104,21615,73545,51930
./samplestext/16.txt,138753,20580,73545,52965
./samplestext/16.txt,142214,20505,73545,53040
./samplestext/16.txt,140858,20790,73545,52755
./samplestext/16.txt,139038,20925,73545,52620
./samplestext/17.txt,262324,33030,93555,60525
./samplestext/17.txt,258884,33825,93555,59730
